Year,Race,Sex,AverageLifeExpectancy,Age-adjusted Death Rate
1972,Black,Both Sexes,64.7,"1,486.3"
1971,Black,Both Sexes,64.6,"1,481.3"
1970,Black,Both Sexes,64.1,"1,518.1"
1969,Black,Both Sexes,64.5,"1,570.4"
1968,Black,Both Sexes,64.1,"1,615.6"
1967,Black,Both Sexes,64.9,"1,466.9"
1966,Black,Both Sexes,64.2,"1,529.7"
1965,Black,Both Sexes,64.3,"1,508.9"
1964,Black,Both Sexes,64.2,"1,507.1"
1963,Black,Both Sexes,63.7,"1,581.5"
1962,Black,Both Sexes,64.2,"1,532.0"
1961,Black,Both Sexes,64.5,"1,492.2"
1960,Black,Both Sexes,63.6,"1,549.0"
1959,Black,Both Sexes,63.9,"1,504.4"
1958,Black,Both Sexes,63.4,"1,552.1"
1957,Black,Both Sexes,63.0,"1,571.7"
1956,Black,Both Sexes,63.6,"1,519.2"
1955,Black,Both Sexes,63.7,"1,510.2"
1954,Black,Both Sexes,63.4,"1,514.8"
1953,Black,Both Sexes,62.0,"1,641.2"
1952,Black,Both Sexes,61.4,"1,671.3"
1951,Black,Both Sexes,61.2,"1,698.2"
1950,Black,Both Sexes,60.8,"1,757.6"
1949,Black,Both Sexes,60.6,"1,739.9"
1948,Black,Both Sexes,60.0,"1,766.9"
1947,Black,Both Sexes,59.7,"1,749.7"
1946,Black,Both Sexes,59.1,"1,711.7"
1945,Black,Both Sexes,57.7,"1,808.8"
1944,Black,Both Sexes,56.6,"1,904.5"
1943,Black,Both Sexes,55.6,"2,006.9"
1942,Black,Both Sexes,56.6,"1,988.9"
1941,Black,Both Sexes,53.8,"2,142.8"
1940,Black,Both Sexes,53.1,"2,254.1"
1939,Black,Both Sexes,54.5,"2,157.0"
1938,Black,Both Sexes,52.9,"2,217.2"
1937,Black,Both Sexes,50.3,"2,374.0"
1936,Black,Both Sexes,49.0,"2,496.6"
1935,Black,Both Sexes,53.1,"2,316.0"
1934,Black,Both Sexes,51.8,"2,386.5"
1933,Black,Both Sexes,54.7,"2,307.9"
1932,Black,Both Sexes,53.7,"2,397.3"
1931,Black,Both Sexes,50.4,"2,516.0"
1930,Black,Both Sexes,48.1,"2,682.9"
1929,Black,Both Sexes,46.7,"2,832.6"
1928,Black,Both Sexes,46.3,"2,835.5"
1927,Black,Both Sexes,48.2,"2,676.2"
1926,Black,Both Sexes,44.6,"2,906.0"
1925,Black,Both Sexes,45.7,"2,858.7"
1924,Black,Both Sexes,46.6,"2,806.5"
1923,Black,Both Sexes,48.3,"2,717.8"
1922,Black,Both Sexes,52.4,"2,507.8"
1921,Black,Both Sexes,51.5,"2,459.8"
1920,Black,Both Sexes,45.3,"2,743.3"
1919,Black,Both Sexes,44.5,"2,648.5"
1918,Black,Both Sexes,31.1,"3,411.9"
1917,Black,Both Sexes,38.8,"3,069.6"
1916,Black,Both Sexes,41.3,"2,940.3"
1915,Black,Both Sexes,38.9,"3,021.8"
1914,Black,Both Sexes,38.9,"2,914.6"
1913,Black,Both Sexes,38.4,"2,906.6"
1912,Black,Both Sexes,37.9,"2,959.2"
1911,Black,Both Sexes,36.4,"3,000.6"
1910,Black,Both Sexes,35.6,"2,983.5"
1909,Black,Both Sexes,35.7,"3,006.9"
1908,Black,Both Sexes,34.9,"3,048.2"
1907,Black,Both Sexes,32.5,"3,295.1"
1906,Black,Both Sexes,32.9,"3,223.4"
1905,Black,Both Sexes,31.3,"3,440.1"
1904,Black,Both Sexes,30.8,"3,586.2"
1903,Black,Both Sexes,33.1,"3,373.7"
1902,Black,Both Sexes,34.6,"3,190.4"
1901,Black,Both Sexes,33.7,"3,338.4"
1900,Black,Both Sexes,33.0,"3,423.3"
